HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,Date,FTR,HTR,league,season,data_source,home_win,draw,away_win,goal_difference,total_goals,match_intensity,home_advantage,year,month,day_of_week,is_weekend,match_number,home_goals_avg_5,away_goals_avg_5,home_conceded_avg_5,away_conceded_avg_5,league_avg_goals,league_home_advantage,league_goal_variance,league_draw_rate,home_team_encoded,away_team_encoded,result_encoded,home_goals_scored,away_goals_scored,home_goals_conceded,away_goals_conceded,home_form_3,away_form_3,home_goals_scored_3,away_goals_scored_3,home_goals_conceded_3,away_goals_conceded_3,home_form_5,away_form_5,home_goals_scored_5,away_goals_scored_5,home_goals_conceded_5,away_goals_conceded_5,home_form_10,away_form_10,home_goals_scored_10,away_goals_scored_10,home_goals_conceded_10,away_goals_conceded_10,home_consistency,away_consistency,home_goal_consistency,away_goal_consistency,is_midweek,season_encoded,home_fatigue,away_fatigue,home_rest_days,away_rest_days,month_of_season,season_phase,month_sin,month_cos,home_early_season_form,away_early_season_form,home_mid_season_form,away_mid_season_form,home_late_season_form,away_late_season_form,home_position_trend,away_position_trend,home_position_momentum,away_position_momentum,home_matches_last_7d,away_matches_last_7d,home_fatigue_index_7d,away_fatigue_index_7d,home_matches_last_14d,away_matches_last_14d,home_fatigue_index_14d,away_fatigue_index_14d,home_matches_last_21d,away_matches_last_21d,home_fatigue_index_21d,away_fatigue_index_21d,home_travel_factor,away_travel_factor,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,is_monday,is_midweek_game,is_weekend_game,is_afternoon_game,is_holiday,is_derby,home_winning_streak,away_winning_streak,home_losing_streak,away_losing_streak,home_momentum_score,away_momentum_score,home_points_trend,away_points_trend,home_goal_diff_trend,away_goal_diff_trend,home_clean_sheet_streak,away_clean_sheet_streak,home_current_position,away_current_position,home_position_change,away_position_change,home_distance_from_promotion,away_distance_from_promotion,home_distance_from_relegation,away_distance_from_relegation,home_pressure_index,away_pressure_index,cross_league_home_advantage,cross_league_avg_goals,cross_league_draw_rate,transfer_learning_factor,home_goal_rate,away_goal_rate,home_defensive_strength,away_defensive_strength,home_offensive_strength,away_offensive_strength,match_balance,goal_difference_ratio,home_team_strength,away_team_strength,team_strength_diff,home_team_win_rate,away_team_win_rate,home_team_avg_goals,away_team_avg_goals,target
Blackburn,Leicester,-0.38698653012288076,2.6701495787613516,0.51016258095693,2.30351561928468,2023-01-10,A,A,E1,Winter,api-football,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-2.102105220036609,1.6550041951406618,1.6550041951406618,-2.102105220036609,-1.0209081844741503,-1.3179719651959156,-0.845452377667107,-0.524142418360959,-1.7056260781187793,-0.6119569556670382,4.079372528351478,4.731370593050352,-0.6640032749264487,-0.01662641630960782,0.06757085480440585,0.03391754150138051,0.03482007277405206,-1.5470981549394143,-0.37930033439840166,-1.3122366527617273,-0.38698653012288076,2.6701495787613516,2.6701495787613516,-0.38698653012288076,-0.1508473537475361,-0.1405155568379405,0.06564330681245399,-0.08396660601649095,0.07051477038402622,0.09021308922501704,-0.16691091784159984,-0.14266558055616216,0.025738834296046904,-0.005835073775374598,0.09034373776071324,0.11244222040126907,-0.17249344140142153,-0.14336013955925264,-0.04629903675115557,-0.06184990746136772,0.09092846850378228,0.11930972344239164,0.030793291734635193,-0.038644186582428026,-0.08488070480550543,-0.08754246716904521,1.1408712905438991,1.175139302786006,-0.10923175765986204,-0.07953997792823919,-0.1647031719179762,-0.14588855172632909,-0.25428702101683437,mid,-1.187386035093983,-0.8500049789025778,-0.1571190871345172,-0.10468460867424521,-0.1783149967887235,-0.17240479361638963,-0.1593037621514938,-0.18203203729885797,0.0,0.0,0.0,0.0,-0.12017510918955808,-0.12073632210407378,-0.06756399709124104,-0.04162026387671254,-0.12017510918955808,-0.12073632210407378,-0.06200739727498837,-0.03253250562798247,-0.12735053571517793,-0.1277085575463741,-0.05940745369348539,-0.02977148477982379,-0.1582528228065186,-0.15476613142900728,1.860521018838127,-0.28297435907819807,-0.3970952413949618,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,-1.5994631001023305,0.0,0.0,0.0,0.0,0.0,0.0,-0.219901075107249,-0.20377045572797736,-0.10663704890838503,-0.1018391425218712,-0.13030153434526928,-0.11679109783463457,0.0,0.0,0.5815571936022866,-1.3069329750270418,0.0,0.0,0.5812232537654318,-1.3203965308831622,-0.5876796664470629,1.3132763286885232,0.4640331927735173,-0.8594562552574901,0.0,0.0,0.0,0.0,-0.37980138134401115,0.3798013813192636,0.7472165186103369,-1.171776873023447,-0.38698653012288076,2.6701495787613516,2.1165276544125957,-0.3798013813316374,-0.5228226730522602,1.6033391134561679,-1.3667457605393034,-0.4900640679483541,1.9211323013270762,0.581625841336896,1.8766178059516343,0
Blackburn Rovers FC,Leicester City FC,-0.39106006720208975,2.5739909322402013,0.49520038116386544,2.315937956394929,2023-01-10,A,A,E1,Winter,football-data-api,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-2.0388347487646823,1.5822809815275274,1.5822809815275274,-2.0388347487646823,-1.0209081844741503,-1.3179719651959156,-0.845452377667107,-0.524142418360959,-1.75578792453653,-0.6353407968150184,4.044998151757815,4.926404983767692,-0.6844606704251218,2.2392018005973116,-1.8500235254083597,-0.6173061216841749,-2.15849765931611,-1.476404313462627,-0.30633376924050015,-1.3122366527617273,-0.39106006720208975,2.5739909322402013,2.5739909322402013,-0.39106006720208975,3.218512751700485,-0.1405155568379405,-13.193095669452687,-0.08396660601649095,-8.26835112422347,0.09021308922501704,3.04620476083462,-0.14266558055616216,-12.463548189076988,-0.005835073775374598,-7.855327703801898,0.11244222040126907,2.902341830395944,-0.14336013955925264,-14.675462459191806,-0.06184990746136772,-8.301743725436756,0.11930972344239164,0.030793291734635193,-0.038644186582428026,-0.08488070480550543,-0.08754246716904521,1.1408712905438991,1.175139302786006,2.792471603716026,-0.07953997792823919,0.26885737140619714,-0.14588855172632909,-0.25428702101683437,mid,-1.187386035093983,-0.8500049789025778,-0.1571190871345172,-0.10468460867424521,2.507988850937501,-0.17240479361638963,-0.1593037621514938,-0.18203203729885797,0.0,0.0,0.0,0.0,3.9799168513953647,-0.12073632210407378,-7.2881346905881195,-0.04162026387671254,3.9799168513953647,-0.12073632210407378,-8.290070517448267,-0.03253250562798247,3.76019213348499,-0.1277085575463741,-8.536078144769268,-0.02977148477982379,-0.1582528228065186,6.839859029258595,1.860521018838127,-0.28297435907819807,-0.3970952413949618,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,0.6252097969224936,0.0,0.0,0.0,0.0,0.0,0.0,0.23674992225116284,-0.20377045572797736,0.4746551349907063,-0.1018391425218712,-0.22566625781215613,-0.6805727975688274,0.0,0.0,0.2262019762726129,-1.1629183221315,0.0,0.0,0.22251981986039826,-1.1753804377356079,-0.2305398859155284,1.1679552811564533,1.1798290752433047,-0.5720624080108229,0.0,0.0,0.0,0.0,-0.38274448908885716,0.3827444890632675,0.7512706867809196,-1.1576092863170615,-0.39106006720208975,2.5739909322402013,2.015946551904789,-0.38274448907606246,-0.24882424890647387,0.9989437398865696,-0.8010433522211563,-0.14792427552990273,1.3733900423149523,0.6013380194494661,1.0794345958287657,0
Blackburn,Leicester,-0.3919138684498246,2.671862279568014,0.48827680326940226,2.2990775836418322,2023-01-10,A,A,E1,Winter,api-football,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-2.1066833711591086,1.6526564350206365,1.6526564350206365,-2.1066833711591086,-1.0209081844741503,-1.3179719651959156,-0.845452377667107,-0.524142418360959,-1.5112317070440957,-0.6042209900651067,3.997387242070043,4.469870489065226,-0.6503819096200255,0.8289688183965768,-5.520883554557774,1.962357200068823,-3.0469665194754554,-1.5470981549394143,-0.37930033439840166,-1.3122366527617273,-0.3919138684498246,2.671862279568014,2.671862279568014,-0.3919138684498246,-0.1508473537475361,6.561343784678266,0.06564330681245399,-0.046414053832142504,0.07051477038402622,-1.9126730037957762,-0.16691091784159984,6.85264096903113,0.025738834296046904,0.045570767480758896,0.09034373776071324,-1.85381933635194,-0.17249344140142153,6.699892631119175,-0.04629903675115557,0.0021477952884315864,0.09092846850378228,-1.7434974280788358,0.030793291734635193,-0.038644186582428026,-0.08488070480550543,-0.08754246716904521,1.1408712905438991,1.175139302786006,-0.10923175765986204,0.48995828970889665,-0.1647031719179762,2.6504574948272976,-0.25428702101683437,mid,-1.187386035093983,-0.8500049789025778,-0.1571190871345172,-0.10468460867424521,7.88059654638995,8.001555448686553,-0.1593037621514938,-0.18203203729885797,0.0,0.0,0.0,0.0,3.9799168513953647,-0.12073632210407378,6.2388975366302715,-0.04162026387671254,3.9799168513953647,-0.12073632210407378,7.124400127429322,-0.03253250562798247,3.76019213348499,-0.1277085575463741,7.3441344429934485,-0.02977148477982379,-0.1582528228065186,-0.15476613142900728,1.860521018838127,-0.28297435907819807,-0.3970952413949618,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,-1.5994631001023305,0.0,0.0,0.0,0.0,0.0,0.0,1.1500519169679866,1.5030656020091009,1.6372395027888889,2.192013388067849,0.37573087006573846,0.284364520878976,0.0,0.0,0.5815571936022866,-1.3069329750270418,0.0,0.0,0.5812232537654318,-1.3203965308831622,-0.5876796664470629,1.3132763286885232,0.4640331927735173,-0.8594562552574901,0.0,0.0,0.0,0.0,-0.3805447592287501,0.3805447592039262,0.7471469396860624,-1.1546776052327905,-0.3919138684498246,2.671862279568014,2.1238055437358683,-0.38054475921633824,-0.5228226730522602,1.6033391134561679,-1.3667457605393034,-0.4900640679483541,1.9211323013270762,0.581625841336896,1.8766178059516343,0
Blackburn Rovers FC,Leicester City FC,-0.38698653012288076,2.6701495787613516,0.51016258095693,2.30351561928468,2023-01-10,A,A,E1,Winter,football-data-api,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-2.102105220036609,1.6550041951406618,1.6550041951406618,-2.102105220036609,-1.0209081844741503,-1.3179719651959156,-0.845452377667107,-0.524142418360959,-1.6911927971150416,-0.6119569556670382,4.079372528351478,4.731370593050352,-0.6640032749264487,-0.01662641630960782,0.06757085480440585,0.03391754150138051,0.03482007277405206,-1.476404313462627,-0.30633376924050015,-1.3122366527617273,-0.38698653012288076,2.6701495787613516,2.6701495787613516,-0.38698653012288076,-0.1508473537475361,6.561343784678266,0.06564330681245399,-0.046414053832142504,0.07051477038402622,-1.9126730037957762,-0.16691091784159984,6.85264096903113,0.025738834296046904,0.045570767480758896,0.09034373776071324,-1.85381933635194,-0.17249344140142153,6.699892631119175,-0.04629903675115557,0.0021477952884315864,0.09092846850378228,-1.7434974280788358,0.030793291734635193,-0.038644186582428026,-0.08488070480550543,-0.08754246716904521,1.1408712905438991,1.175139302786006,-0.10923175765986204,15.866411515911565,3.592821536891526,-0.14588855172632909,-0.25428702101683437,mid,-1.187386035093983,-0.8500049789025778,-0.1571190871345172,-0.10468460867424521,7.88059654638995,5.2769020345855715,8.958740518887955,7.628960438657071,0.0,0.0,0.0,0.0,-0.12017510918955808,-0.12073632210407378,-0.06756399709124104,-0.04162026387671254,-0.12017510918955808,-0.12073632210407378,-0.06200739727498837,-0.03253250562798247,-0.12735053571517793,-0.1277085575463741,-0.05940745369348539,-0.02977148477982379,-0.1582528228065186,-0.15476613142900728,1.860521018838127,-0.28297435907819807,-0.3970952413949618,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,0.6252097969224936,0.0,0.0,0.0,0.0,0.0,0.0,3.4789720034958878,1.5030656020091009,5.1249926061834365,2.192013388067849,1.6137506884495079,0.284364520878976,0.0,0.0,0.2262019762726129,-1.1629183221315,0.0,0.0,0.22251981986039826,-1.1753804377356079,-0.2305398859155284,1.1679552811564533,1.1798290752433047,-0.5720624080108229,0.0,0.0,0.0,0.0,-0.37980138134401115,0.3798013813192636,0.7472165186103369,-1.171776873023447,-0.38698653012288076,2.6701495787613516,2.1165276544125957,-0.3798013813316374,-0.24882424890647387,0.9989437398865696,-0.8010433522211563,-0.14792427552990273,1.3733900423149523,0.6013380194494661,1.0794345958287657,0
Preston North End FC,Queens Park Rangers FC,-1.1576557500227203,0.7833435029937386,-0.818660414264857,-0.709523540677562,2023-01-12,A,D,E1,Winter,football-data-api,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-1.3374143007816819,-0.2752462874515703,-0.2752462874515703,-1.3374143007816819,-1.0209081844741503,-1.3179719651959156,0.19898293446691234,-0.524142418360959,-1.6767595161113036,-1.8888919922304443,1.1534717781525399,1.3355273112546266,-1.979986928363152,-0.01662641630960782,0.06757085480440585,0.03391754150138051,0.03482007277405206,0.36163556493384097,0.5692650126543177,-1.3122366527617273,-1.1576557500227203,0.7833435029937386,0.7833435029937386,-1.1576557500227203,9.957232962596526,-0.1405155568379405,-1.527770454841866,-0.08396660601649095,-8.797139493967036,0.09021308922501704,8.110202137521192,-0.14266558055616216,-1.5091147070733841,-0.005835073775374598,-8.107255166193333,0.11244222040126907,7.7484038173519565,-0.14336013955925264,-1.8441297090853264,-0.06184990746136772,-8.567843906403562,0.11930972344239164,0.030793291734635193,-0.038644186582428026,-0.08488070480550543,-0.08754246716904521,1.1408712905438991,1.175139302786006,0.2651815792918655,-0.07953997792823919,4.170902261323757,3.1682993553001917,-0.25428702101683437,mid,-1.187386035093983,-0.8500049789025778,-0.1571190871345172,-0.10468460867424521,-0.1783149967887235,5.2769020345855715,8.958740518887955,7.628960438657071,0.0,0.0,0.0,0.0,-0.12017510918955808,-0.12073632210407378,-0.06756399709124104,-0.04162026387671254,-0.12017510918955808,-0.12073632210407378,-0.06200739727498837,-0.03253250562798247,-0.12735053571517793,-0.1277085575463741,-0.05940745369348539,-0.02977148477982379,6.7865116584883705,-0.15476613142900728,-0.53748384988657,-0.28297435907819807,2.5182875435300742,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,0.6252097969224936,0.0,0.0,0.0,0.0,0.0,0.0,3.524637103231728,4.501561379114779,5.7062847900825275,6.77971844924729,2.4210403933216327,4.253323003344268,0.0,0.0,-0.2712953279889303,-0.5148523841015619,0.0,0.0,-0.27966498760664865,-0.5228080185716139,0.26945580682861997,0.5140105672621397,1.3229882517372622,0.7212099045991791,0.0,0.0,0.0,0.0,0.6731773035131253,-0.6731773033569889,1.0052791384082473,-0.27383148801917595,-1.1576557500227203,0.7833435029937386,0.9008980851968594,0.6731773034350571,0.07565441672486059,0.23688000799446823,-0.10155097275889281,0.17872770735520324,0.05166415643787219,0.2771002633656255,-0.3619266931097721,0
Preston,QPR,-1.1576557500227203,0.7833435029937386,-0.818660414264857,-0.709523540677562,2023-01-12,A,D,E1,Winter,api-football,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-1.3374143007816819,-0.2752462874515703,-0.2752462874515703,-1.3374143007816819,-1.0209081844741503,-1.3179719651959156,0.19898293446691234,-0.524142418360959,-1.6623262351075656,-1.8888919922304443,1.1534717781525399,1.3355273112546266,-1.979986928363152,-0.01662641630960782,0.06757085480440585,0.03391754150138051,0.03482007277405206,0.29094172345705377,0.4962984474964163,-1.3122366527617273,-1.1576557500227203,0.7833435029937386,0.7833435029937386,-1.1576557500227203,9.957232962596526,-0.1405155568379405,-1.5997714673382077,-0.08396660601649095,-8.797139493967036,0.09021308922501704,8.442851884942712,-0.14266558055616216,-1.5430259754319378,-0.005835073775374598,-7.855327703801898,0.11244222040126907,8.066737571506609,-0.14336013955925264,-1.8838512308784527,-0.06184990746136772,-8.301743725436756,0.11930972344239164,5.388826053561159,-0.038644186582428026,3.9753149518100197,-0.08754246716904521,1.1408712905438991,1.175139302786006,0.08421513309853051,-0.07953997792823919,8.361987513457432,5.861077029759239,-0.25428702101683437,mid,-1.187386035093983,-0.8500049789025778,-0.1571190871345172,-0.10468460867424521,-0.1783149967887235,-0.17240479361638963,8.958740518887955,5.025296280005094,0.0,0.0,0.0,0.0,-0.12017510918955808,-0.12073632210407378,-0.06756399709124104,-0.04162026387671254,-0.12017510918955808,-0.12073632210407378,-0.06200739727498837,-0.03253250562798247,-0.12735053571517793,-0.1277085575463741,-0.05940745369348539,-0.02977148477982379,-0.1582528228065186,6.839859029258595,-0.53748384988657,-0.28297435907819807,2.5182875435300742,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,0.6252097969224936,0.0,0.0,0.0,0.0,0.0,0.0,4.34660889847687,4.778345604693765,7.450161341779802,7.35318158189472,3.0053008715852414,4.629740027134535,0.0,0.0,-1.0530768061142124,-1.090910995683729,0.0,0.0,-1.0688125421977224,-1.1028723911618308,1.055163323997996,1.0952947573904186,-0.25176268969627025,-0.4283654843874894,0.0,0.0,0.0,0.0,0.6731773035131253,-0.6731773033569889,1.0052791384082473,-0.27383148801917595,-1.1576557500227203,0.7833435029937386,0.9008980851968594,0.6731773034350571,0.6146555224247526,0.8394505163057034,-0.13236817933732614,0.6526647360947544,0.8256477833028292,0.3884051649190371,-0.2536357367198558,0
Stoke City FC,Preston North End FC,-1.1514334358790708,0.7709520005844112,-0.8077698216779854,-0.7337136700729302,2023-02-09,A,D,E1,Winter,football-data-api,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-1.3246035789051254,-0.2797015612738683,-0.2797015612738683,-1.3246035789051254,-1.0209081844741503,-1.0431970766935321,0.19898293446691234,-0.524142418360959,-1.6008798684455774,-1.836438029345253,1.1726599659608343,1.4532732551416225,-1.949636950332614,2.924579098571303,-0.20558236650744022,-3.094156633533514,0.4208098054143603,1.0685739797017133,0.42333188233851476,-1.3122366527617273,-1.1514334358790708,0.7709520005844112,0.7709520005844112,-1.1514334358790708,7.470620338649647,-0.1405155568379405,-1.527770454841866,-0.08396660601649095,-8.26835112422347,0.09021308922501704,7.903187172531903,-0.14266558055616216,-1.4752034387148307,-0.005835073775374598,-7.855327703801898,0.11244222040126907,6.964550708996091,-0.14336013955925264,-1.8441297090853264,-0.06184990746136772,-8.301743725436756,0.11930972344239164,5.388826053561159,-0.038644186582428026,7.2564766291207885,-0.08754246716904521,1.1408712905438991,1.175139302786006,0.2424898619008517,-0.07953997792823919,4.459942623539873,-0.14588855172632909,0.07939278031747314,mid,-1.3426450673250523,0.20093512414525294,-0.1571190871345172,-0.10468460867424521,-0.1783149967887235,-0.17240479361638963,7.439066472048047,5.025296280005094,0.0,0.0,0.0,0.0,-0.12017510918955808,-0.12073632210407378,-0.06756399709124104,-0.04162026387671254,-0.12017510918955808,-0.12073632210407378,-0.06200739727498837,-0.03253250562798247,-0.12735053571517793,-0.1277085575463741,-0.05940745369348539,-0.02977148477982379,-0.1582528228065186,-0.15476613142900728,-0.53748384988657,-0.28297435907819807,2.5182875435300742,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,0.6252097969224936,0.0,0.0,0.0,0.0,0.0,0.0,4.574934397156075,4.778345604693765,8.031453525678893,7.35318158189472,2.723750980170961,4.629740027134535,0.0,0.0,1.2211965847956994,-0.22682307831047824,0.0,0.0,1.226889434794492,-0.2327758322765053,-1.2305312714038252,0.2233684721980002,-0.8243993956721001,1.2959975990925139,0.0,0.0,0.0,0.0,0.6510693084917104,-0.6510693083387237,1.0110713379456615,-0.27624771011886945,-1.1514334358790708,0.7709520005844112,0.8805328736793556,0.6510693084152172,-1.0680385544320976,0.051311487499668657,-0.7339046671834444,-1.1929554239006128,0.1663283974549026,-1.1961850527857105,0.297975662372303,0
Leicester City FC,Hull City AFC,-1.1911187432573624,-0.14607472126807752,-0.8044703564030654,0.7838771674429866,2023-02-09,A,A,E1,Winter,football-data-api,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-0.7217964549414381,-0.9738441924247422,-0.9738441924247422,-0.7217964549414381,-1.0209081844741503,-1.0431970766935321,0.19898293446691234,-0.524142418360959,-1.3715967953713224,-1.9684733875774958,-0.3068580963669565,-0.34473738242910085,-2.0129863799192402,1.4986477735434667,-0.3281632357057248,-3.485859561473912,3.000286218543165,-0.3453028498340313,-0.7441331601879091,-1.3122366527617273,-1.1911187432573624,-0.14607472126807752,-0.14607472126807752,-1.1911187432573624,-0.1508473537475361,7.485869370819873,0.06564330681245399,4.459892208289644,0.07051477038402622,-1.9126730037957758,-0.16691091784159984,8.583271843866427,0.025738834296046904,-2.223690650919774,0.09034373776071324,-14.607948353129519,-0.17249344140142153,8.028820387766986,-0.04629903675115557,-2.8229692374779067,0.09092846850378228,-13.826570843351666,0.030793291734635193,8.366466395095665,-0.08488070480550543,5.813210006905819,1.1408712905438991,1.175139302786006,-0.10923175765986204,0.16578235274621936,4.459942623539873,6.482487262326712,0.07939278031747314,mid,-1.3426450673250523,0.20093512414525294,-0.1571190871345172,3.713999229757341,3.8511407748006135,8.001555448686553,7.439066472048047,5.676212319668089,0.0,0.0,0.0,0.0,-0.12017510918955808,-0.12073632210407378,-0.06756399709124104,-0.04162026387671254,-0.12017510918955808,-0.12073632210407378,-0.06200739727498837,-0.03253250562798247,-0.12735053571517793,-0.1277085575463741,-0.05940745369348539,-0.02977148477982379,6.7865116584883705,6.839859029258595,-0.53748384988657,-0.28297435907819807,2.5182875435300742,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,0.6252097969224936,0.0,0.0,0.0,0.0,0.0,0.0,5.944887389231311,5.193521943062243,10.93791444517435,9.64703411248444,5.574822667272378,3.3927062767887968,0.0,0.0,-1.1952188930460819,0.9252941448538562,0.0,0.0,-1.2122939157597359,0.9273529129039287,1.19801923621061,-0.9391999080585576,-0.538081042684185,-0.14097163714082206,0.0,0.0,0.0,0.0,-0.04763316147902862,0.04763316151684444,-1.590894446539324,-0.26127199481639296,-1.1911187432573624,-0.14607472126807752,-0.0777499383333003,-0.04763316149793657,0.9971389993540994,-0.8966599317635333,1.2270043776593333,1.3467441125032684,-0.7926816183238995,1.0370754397519337,-0.579851093003546,0
West Bromwich Albion FC,Huddersfield Town AFC,-0.3697042094643289,0.7868781245199488,-0.874633999806378,0.8138122336872735,2023-02-09,A,A,E1,Winter,football-data-api,-0.9045340337332909,-0.5534494613840601,1.4728879479117973,-0.79595161022612,0.3014391039540084,0.3014391039540084,-0.79595161022612,-1.0209081844741503,-1.0431970766935321,0.19898293446691234,-0.524142418360959,-1.3994213430545777,-0.6264967907712045,1.154666497687625,1.3565975171805131,-0.651023005523365,-2.8982387329982786,-3.001383528169624,-1.1972042362909319,-4.398256378313511,1.6341247115160111,-0.8900662905037121,-1.3122366527617273,-0.3697042094643289,0.7868781245199488,0.7868781245199488,-0.3697042094643289,7.943076737199555,-0.1405155568379405,4.534466192963101,-0.08396660601649095,-1.0433409628306927,0.09021308922501704,8.201344472206381,-0.14266558055616216,4.235219975878603,-0.005835073775374598,-7.855327703801898,0.11244222040126907,7.6609420727821345,-0.14336013955925264,1.5400067976096854,-0.06184990746136772,-8.301743725436756,0.11930972344239164,5.388826053561159,-0.038644186582428026,-0.6246309204986779,-0.08754246716904521,1.1408712905438991,1.175139302786006,0.08104387259429457,-0.07953997792823919,8.50650769456549,-0.042320179631750304,0.07939278031747314,mid,-1.3426450673250523,0.20093512414525294,-0.1571190871345172,-0.10468460867424521,5.194292698663725,-0.17240479361638963,1.0564354753204326,6.58749477519628,0.0,0.0,0.0,0.0,-0.12017510918955808,6.881970359932206,-0.06756399709124104,13.757810449668316,-0.12017510918955808,6.881970359932206,-0.06200739727498837,13.036887784378969,-0.12735053571517793,6.606015385807897,-0.05940745369348539,12.803840760704384,6.7865116584883705,-0.15476613142900728,-0.53748384988657,-0.28297435907819807,2.5182875435300742,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,0.6252097969224936,0.0,0.0,0.0,0.0,0.0,0.0,5.53390149160874,6.4390509581676785,11.519206629073441,12.51434977572159,3.8301202010000077,6.765889300645154,0.0,0.0,-0.20022428452299554,1.717374735779336,0.0,0.0,-0.20792430082564198,1.724941425215477,0.19802785072231308,-1.5931446219528713,1.4661474282312195,-1.7216377969974916,0.0,0.0,0.0,0.0,-0.5900164002529331,0.5900164001540547,1.0036597689913909,-1.2354023940321504,-0.3697042094643289,0.7868781245199488,0.04013455225497109,-0.590016400203494,0.07565441672486116,-1.561342217595755,1.0463779530964286,-0.07646915427378582,-1.547902005749706,1.0935140974114057,-0.861379514880181,0
Rotherham United FC,Norwich City FC,0.39401318738950514,-0.1440673942009981,1.8987772290987728,-0.7332057421715579,2023-02-09,H,H,E1,Winter,football-data-api,1.1055415967851334,-0.5534494613840601,-0.6789382732187883,0.37097789230258654,0.18257896163537096,0.18257896163537096,0.37097789230258654,-1.0209081844741503,-1.0431970766935321,0.19898293446691234,-0.524142418360959,-1.5716615806719125,0.648274712202286,-0.2815424848289218,-0.39289273852349277,0.6468714970421889,2.1724991788854693,0.7867644610836343,1.2522836524024628,-3.834044358635177,0.6444109308409899,0.13146562170690881,1.001128874903324,0.39401318738950514,-0.1440673942009981,-0.1440673942009981,0.39401318738950514,7.943076737199555,-0.1405155568379405,4.534466192963101,-0.08396660601649095,-1.0433409628306927,0.09021308922501704,8.201344472206381,-0.14266558055616216,4.235219975878603,-0.005835073775374598,-7.855327703801898,0.11244222040126907,7.6609420727821345,-0.14336013955925264,1.5400067976096854,-0.06184990746136772,-8.301743725436756,0.11930972344239164,5.388826053561159,-0.038644186582428026,-0.6246309204986779,-0.08754246716904521,1.1408712905438991,1.175139302786006,11.49758168784369,-0.07953997792823919,-0.1647031719179762,-0.14588855172632909,0.07939278031747314,mid,-1.3426450673250523,0.20093512414525294,-0.1571190871345172,-0.10468460867424521,5.194292698663725,-0.17240479361638963,1.0564354753204326,6.58749477519628,0.0,0.0,0.0,0.0,-0.12017510918955808,6.881970359932206,-0.06756399709124104,13.757810449668316,-0.12017510918955808,6.881970359932206,-0.06200739727498837,13.036887784378969,-0.12735053571517793,6.606015385807897,-0.05940745369348539,12.803840760704384,6.7865116584883705,-0.15476613142900728,-0.53748384988657,-0.28297435907819807,2.5182875435300742,-0.4646858229450535,-0.44536177141512323,-0.2294157338705618,-0.45643546458763845,1.1408712905438991,-0.524142418360959,0.6252097969224936,0.0,0.0,0.0,0.0,0.0,0.0,5.53390149160874,6.4390509581676785,11.519206629073441,12.51434977572159,3.8301202010000077,6.765889300645154,0.0,0.0,1.5054807586594383,0.06120622748060537,0.0,0.0,1.513852181918519,0.0572563540186032,-1.5162430958290527,-0.06727362286613923,-1.3970361016479298,1.5833914463391812,0.0,0.0,0.0,0.0,0.13182586268617452,-0.13182586277273348,-1.6254584078737249,1.4581631878782684,0.39401318738950514,-0.1440673942009981,-0.656714035641203,0.13182586272945399,-1.3694075476565495,-0.03356502329482687,-0.8775657342808117,-1.5259873283264436,-0.3611271112234385,-1.0745695331194842,0.5591692063560398,2
