"Match ID","Home Team","Away Team","Match Time","Time to Start","Home Odds","Draw Odds","Away Odds","Within 2 Hours","Extraction Timestamp"
"api_match_4_1760570325839","Cartagines","Guadalupe","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-15T23:18:45.839Z"
"api_match_14_1760570325840","Cartagines","Guadalupe","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-15T23:18:45.840Z"
"api_match_24_1760570325840","Cartagines","Guadalupe","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-15T23:18:45.840Z"
"api_match_34_1760570325840","Cartagines","Guadalupe","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-15T23:18:45.840Z"
"api_match_60_1760570325840","Orange County SC","San Antonio FC","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-15T23:18:45.840Z"
"api_match_61_1760570325840","AFF Guatemala","S. L. Cotzumalguapa","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-15T23:18:45.840Z"
"api_match_62_1760570325840","Marquense","Antigua","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-15T23:18:45.840Z"
"api_match_63_1760570325840","Tampico Madero","Mineros de Zacatecas","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-15T23:18:45.840Z"
