"Match ID","Home Team","Away Team","Match Time","Time to Start","Home Odds","Draw Odds","Away Odds","Within 2 Hours","Extraction Timestamp"
"match_64_1760138695210","Norway","Israel","19:00","Unknown","1.247","11","N/A","No","2025-10-10T23:24:55.210Z"
"match_80_1760138695210","Portugal","Ireland","21:45","Unknown","1.168","19","N/A","No","2025-10-10T23:24:55.210Z"
"match_96_1760138695210","Estonia","Italy","21:45","Unknown","26.0011","1.1","N/A","No","2025-10-10T23:24:55.210Z"
"match_464_1760138695213","weiss","Lohne","15:00","Unknown","1.246","8.4","N/A","No","2025-10-10T23:24:55.214Z"
"match_512_1760138695214","Wealdstone","Whitstable","17:00","Unknown","1.246","8.4","N/A","No","2025-10-10T23:24:55.214Z"
"match_896_1760138695218","Virtus","Verona","18:30","Unknown","1.285","9.8","N/A","No","2025-10-10T23:24:55.218Z"
"match_1056_1760138695219","Municipal","Imperial","02:00","Unknown","1.285","9.4","N/A","No","2025-10-10T23:24:55.219Z"
"match_32_1760138695209","Latvia","Andorra","16:00","Unknown","1.553","N/A","N/A","No","2025-10-10T23:24:55.210Z"
"match_48_1760138695210","Hungary","Armenia","19:00","Unknown","1.355","N/A","N/A","No","2025-10-10T23:24:55.210Z"
"match_112_1760138695210","Serbia","Albania","21:45","Unknown","1.803","N/A","N/A","No","2025-10-10T23:24:55.210Z"
"match_128_1760138695210","Spain","Georgia","21:45","Unknown","1.158","N/A","N/A","No","2025-10-10T23:24:55.210Z"
"match_144_1760138695211","Bulgaria","Turkey","21:45","Unknown","11.005","N/A","N/A","No","2025-10-10T23:24:55.211Z"
"match_176_1760138695211","Uae","Oman","20:15","Unknown","1.793","N/A","N/A","No","2025-10-10T23:24:55.211Z"
"match_192_1760138695211","Argentina","Venezuela","03:00","Unknown","1.167","N/A","N/A","No","2025-10-10T23:24:55.211Z"
"match_208_1760138695212","Mexico","Colombia","04:00","Unknown","3.003","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_224_1760138695212","Iraq","Indonesia","22:30","Unknown","1.863","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_240_1760138695212","Canada","Australia","02:30","Unknown","1.813","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_256_1760138695212","Usa","Ecuador","03:30","Unknown","2.483","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_272_1760138695212","Salvador","Panama","04:00","Unknown","5.003","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_320_1760138695212","Niki","Volou","14:00","Unknown","5.403","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_336_1760138695212","Egaleo","Athens","14:00","Unknown","1.166","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_416_1760138695213","Schott","Mainz","15:00","Unknown","1.524","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_448_1760138695213","Grossaspach","Alzenau","15:00","Unknown","1.275","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_496_1760138695214","Aveley","Gateshead","17:00","Unknown","7.805","N/A","N/A","No","2025-10-10T23:24:55.214Z"
"match_528_1760138695214","Spennymoor","Billericay","17:00","Unknown","1.315","N/A","N/A","No","2025-10-10T23:24:55.214Z"
"match_592_1760138695215","Southend","Folkestone","17:00","Unknown","1.544","N/A","N/A","No","2025-10-10T23:24:55.215Z"
"match_624_1760138695215","Llanelli","Town","16:30","Unknown","1.444","N/A","N/A","No","2025-10-10T23:24:55.215Z"
"match_640_1760138695215","Altona","Drochtersen","16:30","Unknown","6.805","N/A","N/A","No","2025-10-10T23:24:55.215Z"
"match_656_1760138695215","Petrin","Plzen","16:30","Unknown","1.215","N/A","N/A","No","2025-10-10T23:24:55.215Z"
"match_816_1760138695217","Gillingham","Cheltenham","17:00","Unknown","1.593","N/A","N/A","No","2025-10-10T23:24:55.217Z"
"match_960_1760138695218","Colombia","U20","23:00","Unknown","2.083","N/A","N/A","No","2025-10-10T23:24:55.218Z"
"match_976_1760138695218","Tolima","Envigado","23:00","Unknown","1.444","N/A","N/A","No","2025-10-10T23:24:55.218Z"
"match_1008_1760138695218","Jaguares","Leones","01:10","Unknown","1.314","N/A","N/A","No","2025-10-10T23:24:55.218Z"
"match_1024_1760138695218","Argentina","U20","02:00","Unknown","3.703","N/A","N/A","No","2025-10-10T23:24:55.219Z"
"match_160_1760138695211","Unknown","Unknown","14:00","Unknown","1.843","4.9","N/A","No","2025-10-10T23:24:55.211Z"
"match_162_1760138695211","Unknown","Unknown","Unknown","Unknown","1.843","4.9","N/A","No","2025-10-10T23:24:55.211Z"
"match_560_1760138695215","Unknown","Unknown","17:00","Unknown","1.236","8.8","N/A","No","2025-10-10T23:24:55.215Z"
"match_562_1760138695215","Unknown","Unknown","Unknown","Unknown","1.236","8.8","N/A","No","2025-10-10T23:24:55.215Z"
"match_752_1760138695216","Unknown","Unknown","17:00","Unknown","1.216","8.6","N/A","No","2025-10-10T23:24:55.216Z"
"match_754_1760138695216","Unknown","Unknown","Unknown","Unknown","1.216","8.6","N/A","No","2025-10-10T23:24:55.216Z"
"match_784_1760138695216","Unknown","Unknown","17:00","Unknown","1.147","12","N/A","No","2025-10-10T23:24:55.216Z"
"match_786_1760138695217","Unknown","Unknown","Unknown","Unknown","1.147","12","N/A","No","2025-10-10T23:24:55.217Z"
"match_800_1760138695217","Unknown","Unknown","17:00","Unknown","1.196","9.8","N/A","No","2025-10-10T23:24:55.217Z"
"match_802_1760138695217","Unknown","Unknown","Unknown","Unknown","1.196","9.8","N/A","No","2025-10-10T23:24:55.217Z"
"match_880_1760138695218","Unknown","Unknown","17:30","Unknown","1.584","5.2","N/A","No","2025-10-10T23:24:55.218Z"
"match_992_1760138695218","Unknown","Unknown","00:00","Unknown","1.405","5.8","N/A","No","2025-10-10T23:24:55.218Z"
"match_994_1760138695218","Unknown","Unknown","Unknown","Unknown","1.405","5.8","N/A","No","2025-10-10T23:24:55.218Z"
"match_1104_1760138695219","Unknown","Unknown","03:30","Unknown","1.315","9.6","N/A","No","2025-10-10T23:24:55.219Z"
"match_1120_1760138695220","Unknown","Unknown","04:00","Unknown","1.275","9.4","N/A","No","2025-10-10T23:24:55.220Z"
"match_288_1760138695212","Unknown","Unknown","04:00","Unknown","5.204","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_304_1760138695212","Unknown","Unknown","04:00","Unknown","1.544","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_306_1760138695212","Unknown","Unknown","Unknown","Unknown","1.544","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_368_1760138695213","Unknown","Unknown","14:30","Unknown","1.295","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_384_1760138695213","Unknown","Unknown","14:30","Unknown","1.424","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_400_1760138695213","Unknown","Unknown","15:00","Unknown","1.444","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_432_1760138695213","Unknown","Unknown","15:00","Unknown","1.444","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_434_1760138695213","Unknown","Unknown","Unknown","Unknown","1.444","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_480_1760138695214","Unknown","Unknown","15:30","Unknown","5.803","N/A","N/A","No","2025-10-10T23:24:55.214Z"
"match_482_1760138695214","Unknown","Unknown","Unknown","Unknown","5.803","N/A","N/A","No","2025-10-10T23:24:55.214Z"
"match_576_1760138695215","Unknown","Unknown","17:00","Unknown","1.404","N/A","N/A","No","2025-10-10T23:24:55.215Z"
"match_608_1760138695215","Unknown","Unknown","16:30","Unknown","5.804","N/A","N/A","No","2025-10-10T23:24:55.215Z"
"match_720_1760138695216","Unknown","Unknown","17:00","Unknown","1.344","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_722_1760138695216","Unknown","Unknown","Unknown","Unknown","1.344","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_736_1760138695216","Unknown","Unknown","17:00","Unknown","5.404","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_738_1760138695216","Unknown","Unknown","Unknown","Unknown","5.404","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_768_1760138695216","Unknown","Unknown","17:00","Unknown","1.554","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_770_1760138695216","Unknown","Unknown","Unknown","Unknown","1.554","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_864_1760138695217","Unknown","Unknown","17:00","Unknown","1.146","N/A","N/A","No","2025-10-10T23:24:55.217Z"
"match_866_1760138695217","Unknown","Unknown","Unknown","Unknown","1.146","N/A","N/A","No","2025-10-10T23:24:55.217Z"
"match_912_1760138695218","Unknown","Unknown","19:15","Unknown","1.464","N/A","N/A","No","2025-10-10T23:24:55.218Z"
"match_914_1760138695218","Unknown","Unknown","Unknown","Unknown","1.464","N/A","N/A","No","2025-10-10T23:24:55.218Z"
"match_928_1760138695218","Unknown","Unknown","01:00","Unknown","1.265","N/A","N/A","No","2025-10-10T23:24:55.218Z"
"match_944_1760138695218","Unknown","Unknown","00:00","Unknown","7.004","N/A","N/A","No","2025-10-10T23:24:55.218Z"
"match_1040_1760138695219","Unknown","Unknown","02:00","Unknown","5.003","N/A","N/A","No","2025-10-10T23:24:55.219Z"
"match_1072_1760138695219","Unknown","Unknown","02:30","Unknown","1.394","N/A","N/A","No","2025-10-10T23:24:55.219Z"
"match_1074_1760138695219","Unknown","Unknown","Unknown","Unknown","1.394","N/A","N/A","No","2025-10-10T23:24:55.219Z"
"match_1088_1760138695219","Unknown","Unknown","02:30","Unknown","1.425","N/A","N/A","No","2025-10-10T23:24:55.219Z"
"match_1090_1760138695219","Unknown","Unknown","Unknown","Unknown","1.425","N/A","N/A","No","2025-10-10T23:24:55.219Z"
"match_1136_1760138695220","Unknown","Unknown","04:00","Unknown","1.673","N/A","N/A","No","2025-10-10T23:24:55.220Z"
"match_163_1760138695211","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.211Z"
"match_307_1760138695212","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_308_1760138695212","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.212Z"
"match_435_1760138695213","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_436_1760138695213","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.213Z"
"match_483_1760138695214","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.214Z"
"match_563_1760138695215","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.215Z"
"match_564_1760138695215","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.215Z"
"match_723_1760138695216","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_724_1760138695216","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_739_1760138695216","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_740_1760138695216","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_755_1760138695216","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_756_1760138695216","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_771_1760138695216","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_772_1760138695216","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.216Z"
"match_787_1760138695217","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.217Z"
"match_788_1760138695217","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.217Z"
"match_803_1760138695217","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.217Z"
"match_867_1760138695217","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-10T23:24:55.217Z"
