"Match ID","Home Team","Away Team","Match Time","Time to Start","Home Odds","Draw Odds","Away Odds","Within 2 Hours","Extraction Timestamp"
"match_64_1760138355249","Norway","Israel","19:00","Unknown","1.247","11","N/A","No","2025-10-10T23:19:15.249Z"
"match_80_1760138355249","Portugal","Ireland","21:45","Unknown","1.168","19","N/A","No","2025-10-10T23:19:15.249Z"
"match_96_1760138355249","Estonia","Italy","21:45","Unknown","26.0011","1.1","N/A","No","2025-10-10T23:19:15.249Z"
"match_464_1760138355253","weiss","Lohne","15:00","Unknown","1.246","8.4","N/A","No","2025-10-10T23:19:15.253Z"
"match_512_1760138355254","Wealdstone","Whitstable","17:00","Unknown","1.246","8.4","N/A","No","2025-10-10T23:19:15.254Z"
"match_896_1760138355259","Virtus","Verona","18:30","Unknown","1.285","9.8","N/A","No","2025-10-10T23:19:15.259Z"
"match_1056_1760138355261","Municipal","Imperial","02:00","Unknown","1.285","9.4","N/A","No","2025-10-10T23:19:15.261Z"
"match_1376_1760138355265","U19","Armenia","16:00","Unknown","1.0213","35","N/A","No","2025-10-10T23:19:15.265Z"
"match_1392_1760138355265","U19","Luxembourg","16:30","Unknown","1.196","12","N/A","No","2025-10-10T23:19:15.265Z"
"match_1472_1760138355266","Germany","Kosovo","20:00","Unknown","1.0313","25","N/A","No","2025-10-10T23:19:15.266Z"
"match_1504_1760138355266","Boston","River","21:00","Unknown","2.753","2.65","N/A","No","2025-10-10T23:19:15.266Z"
"match_32_1760138355248","Latvia","Andorra","16:00","Unknown","1.553","N/A","N/A","No","2025-10-10T23:19:15.248Z"
"match_48_1760138355248","Hungary","Armenia","19:00","Unknown","1.355","N/A","N/A","No","2025-10-10T23:19:15.248Z"
"match_112_1760138355249","Serbia","Albania","21:45","Unknown","1.803","N/A","N/A","No","2025-10-10T23:19:15.249Z"
"match_128_1760138355249","Spain","Georgia","21:45","Unknown","1.158","N/A","N/A","No","2025-10-10T23:19:15.249Z"
"match_144_1760138355249","Bulgaria","Turkey","21:45","Unknown","11.005","N/A","N/A","No","2025-10-10T23:19:15.249Z"
"match_176_1760138355250","Uae","Oman","20:15","Unknown","1.793","N/A","N/A","No","2025-10-10T23:19:15.250Z"
"match_192_1760138355250","Argentina","Venezuela","03:00","Unknown","1.167","N/A","N/A","No","2025-10-10T23:19:15.251Z"
"match_208_1760138355251","Mexico","Colombia","04:00","Unknown","3.003","N/A","N/A","No","2025-10-10T23:19:15.251Z"
"match_224_1760138355251","Iraq","Indonesia","22:30","Unknown","1.863","N/A","N/A","No","2025-10-10T23:19:15.251Z"
"match_240_1760138355251","Canada","Australia","02:30","Unknown","1.813","N/A","N/A","No","2025-10-10T23:19:15.251Z"
"match_256_1760138355251","Usa","Ecuador","03:30","Unknown","2.483","N/A","N/A","No","2025-10-10T23:19:15.251Z"
"match_272_1760138355251","Salvador","Panama","04:00","Unknown","5.003","N/A","N/A","No","2025-10-10T23:19:15.251Z"
"match_320_1760138355252","Niki","Volou","14:00","Unknown","7.003","N/A","N/A","No","2025-10-10T23:19:15.252Z"
"match_336_1760138355252","Egaleo","Athens","14:00","Unknown","1.127","N/A","N/A","No","2025-10-10T23:19:15.252Z"
"match_416_1760138355252","Schott","Mainz","15:00","Unknown","1.524","N/A","N/A","No","2025-10-10T23:19:15.253Z"
"match_448_1760138355253","Grossaspach","Alzenau","15:00","Unknown","1.275","N/A","N/A","No","2025-10-10T23:19:15.253Z"
"match_496_1760138355254","Aveley","Gateshead","17:00","Unknown","7.805","N/A","N/A","No","2025-10-10T23:19:15.254Z"
"match_528_1760138355254","Spennymoor","Billericay","17:00","Unknown","1.315","N/A","N/A","No","2025-10-10T23:19:15.254Z"
"match_592_1760138355255","Southend","Folkestone","17:00","Unknown","1.544","N/A","N/A","No","2025-10-10T23:19:15.255Z"
"match_624_1760138355255","Llanelli","Town","16:30","Unknown","1.444","N/A","N/A","No","2025-10-10T23:19:15.255Z"
"match_640_1760138355255","Altona","Drochtersen","16:30","Unknown","6.805","N/A","N/A","No","2025-10-10T23:19:15.255Z"
"match_656_1760138355255","Petrin","Plzen","16:30","Unknown","1.215","N/A","N/A","No","2025-10-10T23:19:15.255Z"
"match_816_1760138355258","Gillingham","Cheltenham","17:00","Unknown","1.593","N/A","N/A","No","2025-10-10T23:19:15.258Z"
