"Match ID","Home Team","Away Team","Match Time","Time to Start","Home Odds","Draw Odds","Away Odds","Within 2 Hours","Extraction Timestamp"
"api_match_31_1760657816444","Diriangen FC Diriamba","CD Walter Ferretti","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-16T23:36:56.444Z"
"api_match_131_1760657816444","Diriangen FC Diriamba","CD Walter Ferretti","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-16T23:36:56.444Z"
"api_match_211_1760657816444","Herediano","Alajuelense","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-16T23:36:56.444Z"
"api_match_212_1760657816444","Ska-Khabarovsk-2","FC Metallurg Lipetsk","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-16T23:36:56.444Z"
"api_match_213_1760657816444","Qingdao Hainiu FC Srl","Shanghai Port SRL","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-16T23:36:56.444Z"
"api_match_214_1760657816444","Qingdao West Coast FC Srl","Shanghai Shenhua SRL","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-16T23:36:56.444Z"
"api_match_215_1760657816444","Chengdu Rongcheng FC Srl","Meizhou Hakka FC Srl","Unknown","Unknown","N/A","N/A","N/A","No","2025-10-16T23:36:56.444Z"
